time 1685445125 578232, type 0, code 0, value 0
time 1685445125 586005, type 3, code 0, value 57727
time 1685445125 586005, type 3, code 1, value 40101
time 1685445125 586005, type 0, code 0, value 0
time 1685445125 596087, type 3, code 0, value 57863
time 1685445125 596087, type 3, code 1, value 40239
time 1685445125 596087, type 0, code 0, value 0
time 1685445125 612186, type 3, code 0, value 57658
time 1685445125 612186, type 3, code 1, value 40517
time 1685445125 612186, type 0, code 0, value 0
time 1685445125 620268, type 3, code 0, value 57112
time 1685445125 620268, type 3, code 1, value 40725
time 1685445125 620268, type 0, code 0, value 0
time 1685445125 628465, type 3, code 0, value 55542
time 1685445125 628465, type 3, code 1, value 41002
time 1685445125 628465, type 0, code 0, value 0
time 1685445125 636209, type 3, code 0, value 54245
time 1685445125 636209, type 0, code 0, value 0
time 1685445125 644095, type 3, code 0, value 51822
time 1685445125 644095, type 3, code 1, value 41141
time 1685445125 644095, type 0, code 0, value 0
time 1685445125 652285, type 3, code 0, value 49501
time 1685445125 652285, type 0, code 0, value 0
time 1685445125 659977, type 3, code 0, value 46497
time 1685445125 659977, type 3, code 1, value 40864
time 1685445125 659977, type 0, code 0, value 0
time 1685445125 667921, type 3, code 0, value 43800
time 1685445125 667921, type 3, code 1, value 40378
time 1685445125 667921, type 0, code 0, value 0
time 1685445125 676507, type 3, code 0, value 41343
time 1685445125 676507, type 3, code 1, value 40031
time 1685445125 676507, type 0, code 0, value 0
time 1685445125 684663, type 3, code 0, value 37964
time 1685445125 684663, type 3, code 1, value 39477
time 1685445125 684663, type 0, code 0, value 0
time 1685445125 691993, type 3, code 0, value 35301
time 1685445125 691993, type 3, code 1, value 39130
time 1685445125 691993, type 0, code 0, value 0
time 1685445125 700448, type 3, code 0, value 33288
time 1685445125 700448, type 3, code 1, value 38922
time 1685445125 700448, type 0, code 0, value 0
time 1685445125 708231, type 3, code 0, value 32264
time 1685445125 708231, type 0, code 0, value 0
time 1685445125 716356, type 3, code 0, value 31820
time 1685445125 716356, type 0, code 0, value 0
time 1685445125 724455, type 3, code 0, value 31615
time 1685445125 724455, type 3, code 1, value 38852
time 1685445125 724455, type 0, code 0, value 0
time 1685445125 758884, type 3, code 0, value 31683
time 1685445125 758884, type 3, code 1, value 38783
time 1685445125 758884, type 0, code 0, value 0
time 1685445125 763883, type 3, code 0, value 31820
time 1685445125 763883, type 0, code 0, value 0
time 1685445125 772117, type 3, code 0, value 31990
time 1685445125 772117, type 0, code 0, value 0
time 1685445125 781274, type 3, code 0, value 32195
time 1685445125 781274, type 0, code 0, value 0
time 1685445125 788385, type 3, code 0, value 32332
time 1685445125 788385, type 0, code 0, value 0
time 1685445125 795991, type 3, code 0, value 32502
time 1685445125 795991, type 0, code 0, value 0
time 1685445125 804374, type 3, code 0, value 32537
time 1685445125 804374, type 0, code 0, value 0
time 1685445125 854488, type 3, code 1, value 38714
time 1685445125 854488, type 0, code 0, value 0
time 1685445125 934765, type 3, code 0, value 32673
time 1685445125 934765, type 0, code 0, value 0
time 1685445125 943023, type 3, code 0, value 32980
time 1685445125 943023, type 0, code 0, value 0
time 1685445125 951191, type 3, code 0, value 33322
time 1685445125 951191, type 3, code 1, value 38644
time 1685445125 951191, type 0, code 0, value 0
time 1685445125 958447, type 3, code 0, value 34004
time 1685445125 958447, type 3, code 1, value 38506
time 1685445125 958447, type 0, code 0, value 0
time 1685445125 966376, type 3, code 0, value 34585
time 1685445125 966376, type 3, code 1, value 38298
time 1685445125 966376, type 0, code 0, value 0
time 1685445125 973931, type 3, code 0, value 36052
time 1685445125 973931, type 3, code 1, value 38159
time 1685445125 973931, type 0, code 0, value 0
time 1685445125 981812, type 3, code 0, value 38612
time 1685445125 981812, type 0, code 0, value 0
time 1685445125 989842, type 3, code 0, value 41821
time 1685445125 989842, type 0, code 0, value 0
time 1685445125 998778, type 3, code 0, value 45268
time 1685445125 998778, type 0, code 0, value 0
time 1685445126 6154, type 3, code 0, value 48374
time 1685445126 6154, type 0, code 0, value 0
time 1685445126 14019, type 3, code 0, value 51276
time 1685445126 14019, type 3, code 1, value 38298
time 1685445126 14019, type 0, code 0, value 0
time 1685445126 22361, type 3, code 0, value 52948
time 1685445126 22361, type 3, code 1, value 38575
time 1685445126 22361, type 0, code 0, value 0
time 1685445126 29928, type 3, code 0, value 53528
time 1685445126 29928, type 3, code 1, value 38922
time 1685445126 29928, type 0, code 0, value 0
time 1685445126 38003, type 3, code 0, value 53631
time 1685445126 38003, type 3, code 1, value 39060
time 1685445126 38003, type 0, code 0, value 0
time 1685445126 53923, type 3, code 0, value 53221
time 1685445126 53923, type 3, code 1, value 39477
time 1685445126 53923, type 0, code 0, value 0
time 1685445126 61837, type 3, code 0, value 52504
time 1685445126 61837, type 3, code 1, value 39685
time 1685445126 61837, type 0, code 0, value 0
time 1685445126 70024, type 3, code 0, value 50388
time 1685445126 70024, type 3, code 1, value 40170
time 1685445126 70024, type 0, code 0, value 0
time 1685445126 77833, type 3, code 0, value 48272
time 1685445126 77833, type 3, code 1, value 40447
time 1685445126 77833, type 0, code 0, value 0
time 1685445126 86424, type 3, code 0, value 45268
time 1685445126 86424, type 3, code 1, value 40655
time 1685445126 86424, type 0, code 0, value 0
time 1685445126 93583, type 3, code 0, value 41104
time 1685445126 93583, type 0, code 0, value 0
time 1685445126 101880, type 3, code 0, value 37759
time 1685445126 101880, type 0, code 0, value 0
time 1685445126 109905, type 3, code 0, value 33697
time 1685445126 109905, type 3, code 1, value 40170
time 1685445126 109905, type 0, code 0, value 0
time 1685445126 118520, type 3, code 0, value 29533
time 1685445126 118520, type 3, code 1, value 39407
time 1685445126 118520, type 0, code 0, value 0
